year	host	stadium	city	match_order	date	team_1	team_2	team_1_score	team_2_score
1930	Uruguay	Estadio Pocitos	Montevideo	(1)	1930-07-13	France	Mexico	4	1
1930	Uruguay	Estadio Parque Central	Montevideo	(5)	1930-07-15	Argentina	France	1	0
1930	Uruguay	Estadio Parque Central	Montevideo	(6)	1930-07-16	Chile	Mexico	3	0
1930	Uruguay	Estadio Centenario	Montevideo	(10)	1930-07-19	Chile	France	1	0
1930	Uruguay	Estadio Centenario	Montevideo	(11)	1930-07-19	Argentina	Mexico	6	3
1930	Uruguay	Estadio Centenario	Montevideo	(15)	1930-07-22	Argentina	Chile	3	1
1930	Uruguay	Estadio Parque Central	Montevideo	(3)	1930-07-14	Yugoslavia	Brazil	2	1
1930	Uruguay	Estadio Parque Central	Montevideo	(7)	1930-07-17	Yugoslavia	Bolivia	4	0
1930	Uruguay	Estadio Centenario	Montevideo	(12)	1930-07-20	Brazil	Bolivia	4	0
1930	Uruguay	Estadio Pocitos	Montevideo	(4)	1930-07-14	Romania	Peru	3	1
1930	Uruguay	Estadio Centenario	Montevideo	(9)	1930-07-18	Uruguay	Peru	1	0
1930	Uruguay	Estadio Centenario	Montevideo	(14)	1930-07-21	Uruguay	Romania	4	0
1930	Uruguay	Estadio Parque Central	Montevideo	(2)	1930-07-13	United States	Belgium	3	0
1930	Uruguay	Estadio Parque Central	Montevideo	(8)	1930-07-17	United States	Paraguay	3	0
1930	Uruguay	Estadio Centenario	Montevideo	(13)	1930-07-20	Paraguay	Belgium	1	0
1930	Uruguay	Estadio Centenario	Montevideo	(16)	1930-07-26	Argentina	United States	6	1
1930	Uruguay	Estadio Centenario	Montevideo	(17)	1930-07-27	Uruguay	Yugoslavia	6	1
1930	Uruguay	Estadio Centenario	Montevideo	(18)	1930-07-30	Uruguay	Argentina	4	2
1934	Italy	Stadio Littoriale	Bologna	(1)	1934-05-27	Sweden	Argentina	1	1
1934	Italy	Stadio Benito Mussolini	Turin	(2)	1934-05-27	Austria	France	1	1
1934	Italy	Stadio Giovanni Berta	Florence	(3)	1934-05-27	Germany	Belgium	1	2
1934	Italy	Stadio Luigi Ferraris	Genoa	(4)	1934-05-27	Spain	Brazil	3	0
1934	Italy	Stadio Giorgio Ascarelli	Naples	(5)	1934-05-27	Hungary	Egypt	2	2
1934	Italy	Stadio San Siro	Milan	(6)	1934-05-27	Switzerland	Netherlands	2	1
1934	Italy	Stadio Nazionale PNF	Rome	(7)	1934-05-27	Italy	United States	3	0
1934	Italy	Stadio Littorio	Trieste	(8)	1934-05-27	Czechoslovakia	Romania	0	1
1934	Italy	Stadio Benito Mussolini	Turin	(9)	1934-05-31	Czechoslovakia	Switzerland	1	1
1934	Italy	Stadio San Siro	Milan	(10)	1934-05-31	Germany	Sweden	0	0
1934	Italy	Stadio Giovanni Berta	Florence	(11)	1934-05-31	Italy	Spain	1	1
1934	Italy	Stadio Littoriale	Bologna	(12)	1934-05-31	Austria	Hungary	1	0
1934	Italy	Stadio Giovanni Berta	Florence	(13)	1934-06-01	Italy	Spain	1	0
1934	Italy	Stadio San Siro	Milan	(14)	1934-06-03	Italy	Austria	1	0
1934	Italy	Stadio Nazionale PNF	Rome	(15)	1934-06-03	Czechoslovakia	Germany	1	0
1934	Italy	Stadio Giorgio Ascarelli	Naples	(16)	1934-06-07	Germany	Austria	3	1
1934	Italy	Stadio Nazionale PNF	Rome	(17)	1934-06-10	Italy	Czechoslovakia	0	0
1938	France	Parc des Princes	Paris	(1)	1938-06-04	Switzerland	Germany	1	1
1938	France	Vélodrome Municipal	Reims	(2)	1938-06-05	Hungary	Dutch East Indies	6	0
1938	France	Stade Olympique de Colombes	Paris	(3)	1938-06-05	France	Belgium	3	1
1938	France	Stade Chapou	Toulouse	(4)	1938-06-05	Cuba	Romania	1	1
1938	France	Stade Vélodrome	Marseille	(5)	1938-06-05	Italy	Norway	2	1
1938	France	Stade de la Meinau	Strasbourg	(6)	1938-06-05	Brazil	Poland	6	5
1938	France	Stade municipal	Le Havre	(7)	1938-06-05	Czechoslovakia	Netherlands	3	0
1938	France	Stade Chapou	Toulouse	(8)	1938-06-09	Cuba	Romania	2	1
1938	France	Parc des Princes	Paris	(9)	1938-06-09	Germany	Switzerland	2	4
1938	France	Parc Lescure	Bordeaux	(10)	1938-06-12	Brazil	Czechoslovakia	1	0
1938	France	Stade Victor Boucquey	Lille	(11)	1938-06-12	Switzerland	Hungary	0	2
1938	France	Stade du Fort Carré	Antibes	(12)	1938-06-12	Sweden	Cuba	8	0
1938	France	Stade Olympique de Colombes	Paris	(13)	1938-06-12	France	Italy	1	3
1938	France	Parc Lescure	Bordeaux	(14)	1938-06-14	Brazil	Czechoslovakia	2	1
1938	France	Parc des Princes	Paris	(15)	1938-06-16	Hungary	Sweden	5	1
1938	France	Stade Vélodrome	Marseille	(16)	1938-06-16	Italy	Brazil	2	1
1938	France	Parc Lescure	Bordeaux	(17)	1938-06-19	Sweden	Brazil	2	4
1938	France	Stade Olympique de Colombes	Paris	(18)	1938-06-19	Hungary	Italy	2	4
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(1)	1950-06-24	Brazil	Mexico	4	0
1950	Brazil	Estádio Independência	Belo Horizonte	(5)	1950-06-25	Yugoslavia	Switzerland	3	0
1950	Brazil	Estádio do Pacaembu	São Paulo	(6)	1950-06-28	Brazil	Switzerland	2	1
1950	Brazil	Estádio dos Eucaliptos	Porto Alegre	(7)	1950-06-28	Yugoslavia	Mexico	4	1
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(11)	1950-07-01	Brazil	Yugoslavia	2	0
1950	Brazil	Estádio dos Eucaliptos	Porto Alegre	(14)	1950-07-02	Switzerland	Mexico	2	1
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(2)	1950-06-25	England	Chile	2	0
1950	Brazil	Estádio Durival de Britto	Curitiba	(3)	1950-06-25	Spain	United States	3	1
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(8)	1950-06-29	Spain	Chile	2	0
1950	Brazil	Estádio Independência	Belo Horizonte	(10)	1950-06-29	United States	England	1	0
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(12)	1950-07-02	Spain	England	1	0
1950	Brazil	Estádio Ilha do Retiro	Recife	(15)	1950-07-02	Chile	United States	5	2
1950	Brazil	Estádio do Pacaembu	São Paulo	(4)	1950-06-25	Sweden	Italy	3	2
1950	Brazil	Estádio Durival Britto	Curitiba	(9)	1950-06-29	Sweden	Paraguay	2	2
1950	Brazil	Estádio do Pacaembu	São Paulo	(13)	1950-07-02	Italy	Paraguay	2	0
1950	Brazil	Estádio Independência	Belo Horizonte	(16)	1950-07-02	Uruguay	Bolivia	8	0
1950	Brazil	Estádio do Pacaembu	São Paulo	(17)	1950-07-09	Uruguay	Spain	2	2
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(18)	1950-07-09	Brazil	Sweden	7	1
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(19)	1950-07-13	Brazil	Spain	6	1
1950	Brazil	Estádio do Pacaembu	São Paulo	(20)	1950-07-13	Uruguay	Sweden	3	2
1950	Brazil	Estádio do Pacaembu	São Paulo	(21)	1950-07-16	Sweden	Spain	3	1
1950	Brazil	Estádio do Maracanã	Rio de Janeiro	(22)	1950-07-16	Uruguay	Brazil	2	1
1954	Switzerland	Charmilles Stadium	Geneva	(3)	1954-06-16	Brazil	Mexico	5	0
1954	Switzerland	Stade Olympique de la Pontaise	Lausanne	(4)	1954-06-16	Yugoslavia	France	1	0
1954	Switzerland	Stade Olympique de la Pontaise	Lausanne	(10)	1954-06-19	Brazil	Yugoslavia	1	1
1954	Switzerland	Charmilles Stadium	Geneva	(11)	1954-06-19	France	Mexico	3	2
1954	Switzerland	Wankdorf Stadium	Bern	(5)	1954-06-17	West Germany	Turkey	4	1
1954	Switzerland	Hardturm Stadium	Zürich	(8)	1954-06-17	Hungary	South Korea	9	0
1954	Switzerland	St. Jakob Stadium	Basel	(14)	1954-06-20	Hungary	West Germany	8	3
