(1)  13 July     France     4-1 (3-0)  Mexico    @ Estadio Pocitos, Montevideo
(5)  15 July     Argentina  1-0 (0-0)  France    @ Estadio Parque Central, Montevideo
(6)  16 July     Chile      3-0 (1-0)  Mexico    @ Estadio Parque Central, Montevideo
(10) 19 July     Chile      1-0 (0-0)  France    @ Estadio Centenario, Montevideo
(11) 19 July     Argentina  6-3 (3-1)  Mexico    @ Estadio Centenario, Montevideo
(15) 22 July     Argentina  3-1 (2-1)  Chile     @ Estadio Centenario, Montevideo
(3)  14 July     Yugoslavia   2-1 (2-0)  Brazil   @ Estadio Parque Central, Montevideo
(7)  17 July     Yugoslavia   4-0 (0-0)   Bolivia  @ Estadio Parque Central, Montevideo
(12) 20 July     Brazil       4-0 (1-0)  Bolivia  @ Estadio Centenario, Montevideo
(4)  14 July     Romania      3-1 (1-0)  Peru    @ Estadio Pocitos, Montevideo
(9)  18 July     Uruguay      1-0 (0-0)  Peru    @ Estadio Centenario, Montevideo
(14) 21 July     Uruguay      4-0 (4-0)  Romania  @ Estadio Centenario, Montevideo
(2)  13 July     United States   3-0 (2-0)  Belgium  @ Estadio Parque Central, Montevideo
(8)  17 July     United States   3-0 (2-0)  Paraguay @ Estadio Parque Central, Montevideo
(13) 20 July     Paraguay        1-0 (1-0)  Belgium  @ Estadio Centenario, Montevideo
(16) 26 July     Argentina       6-1 (1-0)  United States  @ Estadio Centenario, Montevideo
(17) 27 July     Uruguay         6-1 (3-1)  Yugoslavia     @ Estadio Centenario, Montevideo
(18) 30 July     Uruguay         4-2 (1-2)  Argentina      @ Estadio Centenario, Montevideo
(1) 27 May   Sweden         3–2 (1-1)  Argentina      @ Stadio Littoriale, Bologna
(2) 27 May   Austria        3–2 a.e.t. (1-1, 1-1) France   @ Stadio Benito Mussolini, Turin
(3) 27 May   Germany        5–2 (1-2)  Belgium        @ Stadio Giovanni Berta, Florence
(4) 27 May   Spain          3–1 (3-0)  Brazil   @ Stadio Luigi Ferraris, Genoa
(5) 27 May   Hungary        4–2 (2-2)  Egypt          @ Stadio Giorgio Ascarelli, Naples
(6) 27 May   Switzerland    3–2 (2-1)  Netherlands    @ Stadio San Siro, Milan
(7) 27 May   Italy          7–1 (3-0)  United States  @ Stadio Nazionale PNF, Rome
(8) 27 May   Czechoslovakia 2–1 (0-1)  Romania        @ Stadio Littorio, Trieste
(9)  31 May   Czechoslovakia 3–2 (1-1)   Switzerland @ Stadio Benito Mussolini, Turin
(10) 31 May   Germany        2–1 (0-0)   Sweden      @ Stadio San Siro, Milan
(11) 31 May   Italy        1–1 a.e.t. (1-1, 1-1)  Spain  @ Stadio Giovanni Berta, Florence
(12) 31 May   Austria        2–1 (1-0)  Hungary     @ Stadio Littoriale, Bologna
(13) 1 June   Italy           1–0 (1-0)  Spain   @ Stadio Giovanni Berta, Florence
(14) 3 June   Italy           1-0 (1-0)   Austria  @ Stadio San Siro, Milan
(15) 3 June   Czechoslovakia  3–1 (1-0)  Germany  @ Stadio Nazionale PNF, Rome
(16) 7 June   Germany          3–2 (3-1) Austria    @ Stadio Giorgio Ascarelli, Naples
(17) 10 June   Italy 2–1 a.e.t. (1-1, 0-0)  Czechoslovakia  @ Stadio Nazionale PNF, Rome
(1) 4 June     Switzerland     1-1aet (1-1, 1-1)   Germany            @ Parc des Princes, Paris
(2) 5 June     Hungary         6-0 (4-0)         Dutch East Indies  @ Vélodrome Municipal, Reims
(3) 5 June     France          3-1 (2-1)         Belgium            @ Stade Olympique de Colombes, Paris
(4) 5 June     Cuba            3-3aet (2-2, 1-1)   Romania            @ Stade Chapou, Toulouse
(5) 5 June     Italy           2-1aet (1-1, 1-0)   Norway             @ Stade Vélodrome, Marseille
(6) 5 June     Brazil          6-5aet (4-4, 3-1)   Poland             @ Stade de la Meinau, Strasbourg
(7) 5 June     Czechoslovakia  3-0aet (0-0, 0-0)  Netherlands        @ Stade municipal, Le Havre
(8) 9 June     Cuba        2-1 (0-1)   Romania             @ Stade Chapou, Toulouse
(9) 9 June     Germany     2-4 (2-1)  Switzerland         @ Parc des Princes, Paris
(10) 12 June   Brazil        1-1aet (1-1, 1-0)  Czechoslovakia  @ Parc Lescure, Bordeaux
(11) 12 June   Switzerland   0-2 (0-1)  Hungary           @ Stade Victor Boucquey, Lille
(12) 12 June   Sweden        8-0 (4-0)  Cuba              @ Stade du Fort Carré, Antibes
(13) 12 June   France        1-3 (1-1)  Italy             @ Stade Olympique de Colombes, Paris
(14) 14 June   Brazil        2-1 (0-1)   Czechoslovakia    @ Parc Lescure, Bordeaux
(15) 16 June   Hungary    5-1 (3-1)   Sweden      @ Parc des Princes, Paris
(16) 16 June   Italy      2-1 (0-0)   Brazil      @ Stade Vélodrome, Marseille
(17) 19 June   Sweden     2-4 (2-1)   Brazil     @ Parc Lescure, Bordeaux
(18) 19 June   Hungary   2-4 (1-3)   Italy        @ Stade Olympique de Colombes, Paris
(1)  24 June    Brazil       4-0 (1-0) Mexico       @ Estádio do Maracanã, Rio de Janeiro
(5)  25 June    Yugoslavia   3-0 (0-0)  Switzerland  @ Estádio Independência, Belo Horizonte
(6)  28 June    Brazil       2-2 (2-1)  Switzerland  @ Estádio do Pacaembu, São Paulo
(7)  28 June    Yugoslavia   4-1 (2-0)  Mexico       @ Estádio dos Eucaliptos, Porto Alegre
(11) 1 July     Brazil       2-0 (1-0)  Yugoslavia   @ Estádio do Maracanã, Rio de Janeiro
(14) 2 July     Switzerland  2-1 (2-0)  Mexico       @ Estádio dos Eucaliptos, Porto Alegre
(2)  25 June     England        2-0  Chile           @ Estádio do Maracanã, Rio de Janeiro
(3)  25 June     Spain          3-1  United States   @ Estádio Durival de Britto, Curitiba
(8)  29 June     Spain          2-0  Chile           @ Estádio do Maracanã, Rio de Janeiro
(10) 29 June     United States  1-0  England         @ Estádio Independência, Belo Horizonte
(12)  2 July     Spain          1-0  England         @ Estádio do Maracanã, Rio de Janeiro
(15)  2 July     Chile          5-2  United States   @ Estádio Ilha do Retiro, Recife
(4)  25 June     Sweden         3-2  Italy           @ Estádio do Pacaembu, São Paulo
