estadio	ciudad	partido_orden	fecha	nombre_eq_1	nombre_eq_2	goles_eq_1	goles_eq_2
Estadio Pocitos	Montevideo	(1)	13 July	France	Mexico	4	1
Estadio Parque Central	Montevideo	(5)	15 July	Argentina	France	1	0
Estadio Parque Central	Montevideo	(6)	16 July	Chile	Mexico	3	0
Estadio Centenario	Montevideo	(10)	19 July	Chile	France	1	0
Estadio Centenario	Montevideo	(11)	19 July	Argentina	Mexico	6	3
Estadio Centenario	Montevideo	(15)	22 July	Argentina	Chile	3	1
Estadio Parque Central	Montevideo	(3)	14 July	Yugoslavia	Brazil	2	1
Estadio Parque Central	Montevideo	(7)	17 July	Yugoslavia	Bolivia	4	0
Estadio Centenario	Montevideo	(12)	20 July	Brazil	Bolivia	4	0
Estadio Pocitos	Montevideo	(4)	14 July	Romania	Peru	3	1
Estadio Centenario	Montevideo	(9)	18 July	Uruguay	Peru	1	0
Estadio Centenario	Montevideo	(14)	21 July	Uruguay	Romania	4	0
Estadio Parque Central	Montevideo	(2)	13 July	United States	Belgium	3	0
Estadio Parque Central	Montevideo	(8)	17 July	United States	Paraguay	3	0
Estadio Centenario	Montevideo	(13)	20 July	Paraguay	Belgium	1	0
Estadio Centenario	Montevideo	(16)	26 July	Argentina	United States	6	1
Estadio Centenario	Montevideo	(17)	27 July	Uruguay	Yugoslavia	6	1
Estadio Centenario	Montevideo	(18)	30 July	Uruguay	Argentina	4	2
Stadio Littoriale	Bologna	(1)	27 May	Sweden	Argentina	3	2
Stadio Benito Mussolini	Turin	(2)	27 May	Austria	France	3	2
Stadio Giovanni Berta	Florence	(3)	27 May	Germany	Belgium	5	2
Stadio Luigi Ferraris	Genoa	(4)	27 May	Spain	Brazil	3	1
Stadio Giorgio Ascarelli	Naples	(5)	27 May	Hungary	Egypt	4	2
Stadio San Siro	Milan	(6)	27 May	Switzerland	Netherlands	3	2
Stadio Nazionale PNF	Rome	(7)	27 May	Italy	United States	7	1
Stadio Littorio	Trieste	(8)	27 May	Czechoslovakia	Romania	2	1
Stadio Benito Mussolini	Turin	(9)	31 May	Czechoslovakia	Switzerland	3	2
Stadio San Siro	Milan	(10)	31 May	Germany	Sweden	2	1
Stadio Giovanni Berta	Florence	(11)	31 May	Italy	Spain	1	1
Stadio Littoriale	Bologna	(12)	31 May	Austria	Hungary	2	1
Stadio Giovanni Berta	Florence	(13)	1 June	Italy	Spain	1	0
Stadio San Siro	Milan	(14)	3 June	Italy	Austria	1	0
Stadio Nazionale PNF	Rome	(15)	3 June	Czechoslovakia	Germany	3	1
Stadio Giorgio Ascarelli	Naples	(16)	7 June	Germany	Austria	3	2
Stadio Nazionale PNF	Rome	(17)	10 June	Italy	Czechoslovakia	2	1
Parc des Princes	Paris	(1)	4 June	Switzerland	aet	1	1
Vélodrome Municipal	Reims	(2)	5 June	Hungary	Dutch East	6	0
Stade Olympique de Colombes	Paris	(3)	5 June	France	Belgium	3	1
Stade Chapou	Toulouse	(4)	5 June	Cuba	aet	3	3
Stade Vélodrome	Marseille	(5)	5 June	Italy	aet	2	1
Stade de la Meinau	Strasbourg	(6)	5 June	Brazil	aet	6	5
Stade municipal	Le Havre	(7)	5 June	Czechoslovakia	aet	3	0
Stade Chapou	Toulouse	(8)	9 June	Cuba	Romania	2	1
Parc des Princes	Paris	(9)	9 June	Germany	Switzerland	2	4
Parc Lescure	Bordeaux	(10)	12 June	Brazil	aet	1	1
Stade Victor Boucquey	Lille	(11)	12 June	Switzerland	Hungary	0	2
Stade du Fort Carré	Antibes	(12)	12 June	Sweden	Cuba	8	0
Stade Olympique de Colombes	Paris	(13)	12 June	France	Italy	1	3
Parc Lescure	Bordeaux	(14)	14 June	Brazil	Czechoslovakia	2	1
Parc des Princes	Paris	(15)	16 June	Hungary	Sweden	5	1
Stade Vélodrome	Marseille	(16)	16 June	Italy	Brazil	2	1
Parc Lescure	Bordeaux	(17)	19 June	Sweden	Brazil	2	4
Stade Olympique de Colombes	Paris	(18)	19 June	Hungary	Italy	2	4
Estádio do Maracanã	Rio de Janeiro	(1)	24 June	Brazil	Mexico	4	0
Estádio Independência	Belo Horizonte	(5)	25 June	Yugoslavia	Switzerland	3	0
Estádio do Pacaembu	São Paulo	(6)	28 June	Brazil	Switzerland	2	2
Estádio dos Eucaliptos	Porto Alegre	(7)	28 June	Yugoslavia	Mexico	4	1
Estádio do Maracanã	Rio de Janeiro	(11)	1 July	Brazil	Yugoslavia	2	0
Estádio dos Eucaliptos	Porto Alegre	(14)	2 July	Switzerland	Mexico	2	1
Estádio do Maracanã	Rio de Janeiro	(2)	25 June	England	Chile	2	0
Estádio Durival de Britto	Curitiba	(3)	25 June	Spain	United States	3	1
Estádio do Maracanã	Rio de Janeiro	(8)	29 June	Spain	Chile	2	0
Estádio Independência	Belo Horizonte	(10)	29 June	United States	England	1	0
Estádio do Maracanã	Rio de Janeiro	(12)	2 July	Spain	England	1	0
Estádio Ilha do Retiro	Recife	(15)	2 July	Chile	United States	5	2
Estádio do Pacaembu	São Paulo	(4)	25 June	Sweden	Italy	3	2
Estádio Durival Britto	Curitiba	(9)	29 June	Sweden	Paraguay	2	2
Estádio do Pacaembu	São Paulo	(13)	2 July	Italy	Paraguay	2	0
Estádio Independência	Belo Horizonte	(16)	2 July	Uruguay	Bolivia	8	0
Estádio do Pacaembu	São Paulo	(17)	9 July	Uruguay	Spain	2	2
Estádio do Maracanã	Rio de Janeiro	(18)	9 July	Brazil	Sweden	7	1
Estádio do Maracanã	Rio de Janeiro	(19)	13 July	Brazil	Spain	6	1
Estádio do Pacaembu	São Paulo	(20)	13 July	Uruguay	Sweden	3	2
Estádio do Pacaembu	São Paulo	(21)	16 July	Sweden	Spain	3	1
Estádio do Maracanã	Rio de Janeiro	(22)	16 July	Uruguay	Brazil	2	1
Charmilles Stadium	Geneva	(3)	16 June	Brazil	Mexico	5	0
Stade Olympique de la Pontaise	Lausanne	(4)	16 June	Yugoslavia	France	1	0
Stade Olympique de la Pontaise	Lausanne	(10)	19 June	Brazil	Yugoslavia	1	1
Charmilles Stadium	Geneva	(11)	19 June	France	Mexico	3	2
